mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_colsample_bytree;param_learning_rate;param_max_depth;param_n_estimators;param_subsample;params;mean_test_score;std_test_score;rank_test_score
205,34968662261963;1,8474014749528476;0,38294196128845215;0,025229527635652654;0.8;0.3;3;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
263,1269749641418;0,8523908994080603;0,5373291015625;0,03804496999799931;0.8;0.3;3;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
235,6073468208313;1,6665112437396816;0,4366774082183838;0,01776496016193504;1.0;0.3;3;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
305,15310392379763;4,689248169592212;0,49268574714660646;0,021510317229802515;1.0;0.3;3;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
510,474991941452;3,452780554419758;0,8180514812469483;0,05660845092242579;0.8;0.1;9;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9997234917722982;5,028284137690708e-05;5
272,35637011528013;1,8279104368297534;0,509416913986206;0,028817871713243317;0.8;0.3;9;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9997234886130346;0,0001465843222558301;6
149,12697916030885;2,4041796646659592;0,2658401012420654;0,061889682824675295;1.0;0.3;3;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,9996983598303931;0,00023311309924490327;7
224,5975175380707;2,261694982333498;0,4206726551055908;0,02454436998530813;0.8;0.3;9;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9996983535118659;0,00012818543798153042;8
486,2167155265808;5,892096736559527;0,8127013206481933;0,051599273340904916;0.8;0.1;9;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9996983471933387;0,00017050249881711744;9
408,68293871879575;4,044226508491833;0,7099823474884033;0,025824462790803124;0.8;0.1;9;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9996983471933387;0,00015083693422772993;9
216,39683299064637;1,8613967989658888;0,39714393615722654;0,022044601172184753;0.8;0.3;9;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9996983471933387;0,00015083693422772993;9
445,8755684375763;0,930400410437716;0,7044865131378174;0,038538406864469674;1.0;0.1;3;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9996732247292244;0,0002331110553762777;12
249,4218554019928;1,5080266156887685;0,4240866184234619;0,021223195148911186;1.0;0.3;3;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9996732215699607;0,00018811245094698957;13
320,0766445636749;4,4946397691002415;0,529512882232666;0,02012550132997918;1.0;0.3;3;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,9996732184106971;0,00023312263774656887;14
265,3707802295685;2,1011216401032926;0,4904766082763672;0,017425517114797544;0.8;0.3;9;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9996732152514335;0,0001281817209653437;15
381,8050618171692;2,06896324292846;0,6657645225524902;0,05868557981345182;0.8;0.1;3;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9996480896280555;0,00024370883800929683;16
126,12391872406006;0,6838526903116722;0,24696030616760253;0,03573239356916357;0.8;0.3;3;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,9996480864687918;0,00021623757847636995;17
223,03112215995787;2,0497184573890284;0,4455915927886963;0,041512934912997346;0.8;0.3;6;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9996480801502647;0,0001465826976842549;18
213,87060551643373;1,4468912044477127;0,4041025638580322;0,03457938026645164;0.8;0.3;6;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9996480769910011;0,0001231621408129996;19
233,70354890823364;2,2655214514266167;0,38428025245666503;0,032219976971322076;1.0;0.3;6;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9996480769910011;0,00014658865680980144;19
511,79304547309874;6,391709112464286;0,753062391281128;0,07587195621117944;1.0;0.1;6;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9996480769910011;0,00012315569276990192;19
290,4864025115967;3,810163450192411;0,46618142127990725;0,04131291812222942;1.0;0.3;6;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9996480769910011;0,00014658865680980144;19
272,7348632335663;2,2367297784831246;0,48736157417297366;0,015202209311226934;0.8;0.3;6;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9996480769910011;0,00014658865680980144;19
159,7998586654663;1,1603880198011685;0,31262574195861814;0,02251771338886453;0.8;0.3;9;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9996480769910011;9,407226771998499e-05;19
168,16726088523865;1,4246082914606475;0,30812411308288573;0,025508089295101385;0.8;0.3;9;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9996480769910011;0,00014658865680980144;19
476,28264598846437;2,647949000023669;0,7353023052215576;0,05888646477079741;1.0;0.1;3;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,999622951367623;0,00021030667397044898;26
434,36058926582336;2,0775462759029466;0,6587401390075683;0,020985255432777287;0.8;0.1;9;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9996229418898324;7,950415173259235e-05;27
263,7373556137085;2,6976512480231376;0,4993568420410156;0,03544908346102693;0.8;0.3;6;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9996229418898324;0,00011242878420751368;27
158,17255082130433;1,08867933192933;0,2394418716430664;0,0334640946154517;1.0;0.3;3;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9995978131071908;0,00024371405193864934;29
274,22883067131045;1,3994521967295845;0,5237302780151367;0,03510572542100489;0.8;0.3;3;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,9995978067886636;0,00040063715283711744;30
462,2489568710327;2,7017957311072887;0,8033641815185547;0,02978661237259675;0.8;0.1;6;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9995978036294;0,00014658811557631605;31
160,69319138526916;1,11756887033329;0,3259424209594727;0,023091305205452377;0.8;0.3;6;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9995978036294;0,0001847341830293912;31
484,7285737514496;2,161967511702532;0,8224395275115967;0,04980115703745823;0.8;0.1;6;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995978036294;0,0001231614966316778;31
243,5510603904724;2,546762678968623;0,3709387302398682;0,0338847172215762;1.0;0.3;6;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9995978004701364;0,00018473805171344493;34
213,958810710907;0,9995944821725271;0,4186428070068359;0,02255240774621496;0.8;0.3;3;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9995726716874949;0,00039427700107806397;35
167,4803982257843;1,4978868238156333;0,3235918998718262;0,035182896997792985;1.0;0.3;6;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9995726716874949;0,00012817676589217824;35
422,2294874191284;2,887389428329624;0,6537868022918701;0,04343798358691723;1.0;0.1;6;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9995726653689676;0,0001005688387918303;37
292,2963076591492;4,071070382736861;0,4372259616851807;0,03208892478405607;1.0;0.3;9;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9995726653689676;0,00012819287309206296;37
177,07239685058593;2,964042804725338;0,316623592376709;0,020936438275583794;1.0;0.3;6;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9995726653689676;0,00017050529453046018;37
320,487672996521;2,21200772650965;0,5125246524810791;0,047672016322000126;1.0;0.1;3;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,999547536586326;0,0003428341419534114;40
300,6234173297882;4,134007049717089;0,4694506645202637;0,036288359538247876;1.0;0.3;6;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995475271085352;0,00017050762342731143;41
133,51824913024902;0,9577135593717391;0,2699692726135254;0,028248061416243486;0.8;0.3;3;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9995224014851573;0,0003315882879770312;42
377,53765215873716;2,149537331784814;0,6675965785980225;0,03296169025167588;0.8;0.1;6;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9995223920073665;0,00012316730054413988;43
541,6099821567535;3,7957353595352394;0,8283486843109131;0,038247722741420666;1.0;0.1;6;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995223920073665;9,407902288857953e-05;43
295,345954990387;3,219322550414991;0,4839623928070068;0,03370719140096686;0.8;0.1;9;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9994972600654612;0,00011241465848136062;45
405,3039124965668;2,811137766094498;0,6518783092498779;0,03762020105330651;0.8;0.1;3;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,9994972600654612;0,0003465070087252528;45
234,35578961372374;2,250938988091918;0,37746357917785645;0,02370000877104821;1.0;0.3;9;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9994972600654612;7,948417493954587e-05;45
152,15612683296203;1,6743680575440256;0,323150110244751;0,032793375461823315;0.8;0.3;6;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9994972569061975;7,950914844183803e-05;48
530,5335799694061;4,806530632732706;0,7453058242797852;0,0411540317625247;1.0;0.1;9;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9994721218050288;0,00012315053668580898;49
173,85736579895018;2,2126695092402695;0,3004415512084961;0,04254152101863746;1.0;0.3;9;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9994721218050288;9,405707474901702e-05;49
399,12856407165526;2,775775074842594;0,635792350769043;0,07029947738014636;0.8;0.1;6;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9994721186457654;0,00018473719332156124;51
448,3918788433075;4,044739075744007;0,6490684509277344;0,014223968003035563;1.0;0.1;6;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9994721154865017;0,0001465994929744917;52
317,2925572872162;1,1799632679403707;0,5172900676727294;0,03947513798943068;0.8;0.1;9;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9994469803853328;0,00018812976034890118;53
