mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_colsample_bytree;param_learning_rate;param_max_depth;param_n_estimators;param_subsample;params;mean_test_score;std_test_score;rank_test_score
342,9828410625458;1,968993093995448;0,5071133613586426;0,037087876670684264;1.0;0.1;3;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9994218516026911;0,0004022062452404254;54
449,31935448646544;6,9444086943801455;0,6173565864562989;0,04735318146596687;1.0;0.1;9;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9994218484434277;0,00012818172446927819;55
566,5883470535279;6,068004616119925;0,8099091529846192;0,04955646386191181;1.0;0.1;9;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9994218484434277;6,157850060367443e-05;55
262,5560619354248;36,26985888782784;0,2968963623046875;0,1349243332843283;1.0;0.3;9;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,999396713342259;0,00012314537925113436;57
272,3971485137939;2,395671705036769;0,47235703468322754;0,032271286171400744;0.8;0.1;3;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9993967101829953;0,0002799309441637902;58
288,7420775413513;1,8772374877277271;0,4916840553283691;0,03366595490381052;0.8;0.1;3;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9993715782410902;0,00038943006203021757;59
182,10899624824523;1,9351843970864986;0,27450881004333494;0,03867384531975611;1.0;0.3;9;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9993715750818264;0,00013768792838925203;60
475,78205885887144;5,951210032596293;0,5686147212982178;0,053815809671864646;1.0;0.1;9;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,999371571922563;7,951414559019781e-05;61
242,89873785972594;2,9451693780246004;0,3597074031829834;0,04520014396502034;1.0;0.3;9;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9993464399806576;0,00014656969882919743;62
274,9645909309387;3,2908876042940034;0,4839298248291016;0,07013080930821516;0.8;0.1;6;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9992458837796647;0,00015901329767944878;63
349,790389919281;4,196817982037991;0,45738987922668456;0,028841707801810165;1.0;0.1;9;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9992207455192321;0,0001466124973572115;64
324,09210910797117;3,0863192610733012;0,4133479118347168;0,05097004891841823;1.0;0.1;9;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9992207455192321;0,00018475353077178138;64
246,42647562026977;4,577927823994245;0,665792179107666;0,39277460444834117;0.8;0.1;6;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9991956135773272;0,00027075146154417713;66
1113,408571434021;13,737937959711601;1,6906309127807617;0,04667576967393901;0.8;0.01;9;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9991956104180634;0,00021916006270360406;67
277,33861713409425;2,7237905042700357;0,41986937522888185;0,024277763605212575;1.0;0.1;6;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9991704689983674;0,00021917564332451787;68
811,2819975852966;4,331832660728088;1,214575958251953;0,051388105442334485;0.8;0.01;9;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9991453370564625;0,00012317633439505382;69
1188,553655719757;7,284023703122916;1,7032301425933838;0,08636692813878595;0.8;0.01;9;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9991202019552935;0,00013769370083467592;70
300,4309257984161;1,6957258634149035;0,4147472381591797;0,05307030013062181;1.0;0.1;6;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9990699159566379;0,0002822100480924204;71
420,0847183704376;2,862910428667691;0,6791329860687256;0,04208367887331512;0.8;0.01;9;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9989945201309224;0,0001124146712666702;72
757,5548563480377;5,441634616716623;1,141106128692627;0,03405348516129216;0.8;0.01;9;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9989693755519629;0,0001667836053363365;73
393,06590819358826;3,693788560023295;0,6626564502716065;0,025156096405736177;0.8;0.01;9;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9988436937275917;0,00021626843557985792;74
1306,5664412021638;8,327945631546111;1,5055249214172364;0,019893331037403417;1.0;0.01;9;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,99841636857435;0,00020422810489565137;75
1217,5414855003357;11,354254417204958;1,4872689247131348;0,05815150760166389;1.0;0.01;9;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9984163654150866;0,0002191763840537267;76
832,7330846786499;8,27593513582717;1,0151748657226562;0,02843605157134199;1.0;0.01;9;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9979890371025812;0,0002636749178503915;77
900,4556738376617;12,007289879871651;1,0832344055175782;0,036246609495029156;1.0;0.01;9;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9978884966979061;0,00021620162336826227;78
181,49642271995543;0,7234256323700519;0,25127625465393066;0,027825905717892455;1.0;0.1;3;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9978382359733594;0,0005642385718730318;79
151,6893988609314;0,7836834436528852;0,27179865837097167;0,016675080278844477;0.8;0.1;3;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9977879531339674;0,0006583683793993261;80
168,77497091293336;0,9933508515864843;0,24309449195861815;0,02977342691382621;1.0;0.1;3;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,997737657657521;0,00044971514854843744;81
142,41724967956543;0,49392048604309297;0,24338946342468262;0,036316103200542765;0.8;0.1;3;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,9974108981830632;0,0007972284418499418;82
467,2272134304047;4,1193431899325965;0,5858211517333984;0,027722917914167713;1.0;0.01;9;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9970086828568817;0,0005917504369373094;83
433,9153541564941;4,0930113230144745;0,5809015750885009;0,059514025006169535;1.0;0.01;9;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9969332775533755;0,0004939386540410171;84
888,7669328689575;4,470607240502939;1,4323148250579834;0,03870179405399931;0.8;0.01;6;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9967824732648898;0,0006725669009116728;85
831,5862224578857;4,346405672377592;1,3294003009796143;0,07560171661070186;0.8;0.01;6;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,996531106456884;0,0006678494971125997;86
950,3847556114197;8,769669701956756;1,2959078311920167;0,050437254765932873;1.0;0.01;6;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9956513242084956;0,001230336399428019;87
1023,9860409259796;10,861190464875154;1,330636978149414;0,11337832720528841;1.0;0.01;6;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9956010476876308;0,0010454252253638849;88
605,2595401287078;1,0948284403977773;0,9486475467681885;0,05399051318800727;0.8;0.01;6;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9949977515520988;0,0007037264800013426;89
565,1167162418366;3,135005491571101;0,933175802230835;0,0414623604710601;0.8;0.01;6;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9945452944569521;0,000713472684159825;90
650,1258767604828;3,704001791647284;0,9009959697723389;0,07233908237069096;1.0;0.01;6;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9934895475448003;0,0012037923289786934;91
702,6157019138336;8,328968082668368;0,9677132129669189;0,057999134717351374;1.0;0.01;6;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9934392425905634;0,0010129572014325918;92
294,8585506439209;2,7463432195985504;0,4863307952880859;0,03924338894110428;0.8;0.01;6;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9925846175581888;0,0011599539327890025;93
315,6767159938812;2,2061370288041395;0,5608995914459228;0,02304573928688308;0.8;0.01;6;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,992257842287413;0,0008431228783192579;94
364,329217672348;2,3671171603505616;0,5529690742492676;0,017401944885307257;1.0;0.01;6;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9898195321219074;0,0013604764148909035;95
338,3354622840881;3,0239806552859894;0,5130703926086426;0,028029743916506523;1.0;0.01;6;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9897441426147189;0,0010796470948803113;96
527,2700211524964;2,30518138899009;0,6552480697631836;0,03757172888468029;1.0;0.01;3;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9673721712980523;0,0009189895991390165;97
472,7775127887726;2,406556787240029;0,6759981155395508;0,04527878796219506;0.8;0.01;3;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,9673470551524652;0,001061309419474754;98
443,16067237854;1,359012559870029;0,647160530090332;0,038823205225075694;0.8;0.01;3;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9668192275057115;0,0011334847046654553;99
568,0212892055512;5,091754974106067;0,6742561340332032;0,04388050479031089;1.0;0.01;3;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,9665175115137782;0,0007315096917755396;100
316,95583109855653;0,5852399848908584;0,44367690086364747;0,05926784546570127;0.8;0.01;3;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9565129861846036;0,001483212585107561;101
297,99092001914977;1,5011308599001303;0,4619542121887207;0,04356492752913221;0.8;0.01;3;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9563873169972869;0,0012364183245582468;102
352,4475209236145;1,627141219942596;0,5011230945587158;0,013595344774403825;1.0;0.01;3;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9550801874808114;0,0011031215073682567;103
379,9871594905853;2,2330727722201034;0,4948629379272461;0,025544104767678873;1.0;0.01;3;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9546025826474415;0,0008276954415673651;104
159,67852935791015;1,4445111288361474;0,23699588775634767;0,025981980405185408;0.8;0.01;3;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9451761993970482;0,0020415917867503473;105
150,13814468383788;0,7995696684761366;0,2402367115020752;0,03700039686645028;0.8;0.01;3;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,9442460995573683;0,0018426716494818417;106
176,69998965263366;0,8718721847432731;0,23988733291625977;0,022129680872406746;1.0;0.01;3;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,9294907147031435;0,002080883706499248;107
191,4573184490204;0,9852214777020999;0,261843204498291;0,021253580427314612;1.0;0.01;3;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9279071843739285;0,0027404190733365677;108
